"","doc_id","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sgd17","sdg","gc","gri","int","company","country","year","ctrygrp"
"333","NL0009434992_2020_SR_0.pdf",0,0,0,0,0,0,17,1,0,3,0,0,21,0,11,8,5,16,10,140,0,"NL0009434992","NL",2020,"EUR"
"334","NL0010545661_2016_SR_0.pdf",6,36,9,6,2,14,36,12,3,32,8,10,64,0,63,19,21,25,0,577,0,"NL0010545661","NL",2016,"EUR"
"335","NL0010545661_2020_SR_0.pdf",0,32,1,1,2,5,29,3,0,21,2,2,76,0,44,12,31,36,2,532,0,"NL0010545661","NL",2020,"EUR"
"336","NL0010773842_2016_IR_0.pdf",1,0,1,0,0,0,4,9,0,5,0,1,21,0,5,5,6,15,5,50,2,"NL0010773842","NL",2016,"EUR"
"337","NL0010773842_2020_CR_0.pdf",0,0,2,0,0,0,7,0,0,0,0,0,39,0,1,0,1,0,0,0,0,"NL0010773842","NL",2020,"EUR"
"338","NL0010773842_2020_IR_0.pdf",10,0,25,0,5,0,5,7,0,3,0,3,47,0,8,4,9,22,6,38,3,"NL0010773842","NL",2020,"EUR"
"339","NL0011585146_2016_SR_0.pdf",0,0,1,0,3,0,1,0,0,2,0,0,3,0,5,0,8,0,0,0,0,"NL0011585146","NL",2016,"EUR"
"340","NL0011585146_2020_IR_0.pdf",0,0,3,0,0,0,5,4,0,1,0,0,21,0,0,2,10,7,0,2,0,"NL0011585146","NL",2020,"EUR"
"341","NL0011585146_2020_SR_0.pdf",0,0,2,0,0,0,7,1,0,3,0,0,18,0,1,1,8,7,0,125,0,"NL0011585146","NL",2020,"EUR"
"342","NL0012015705_2020_SR_0.pdf",4,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,4,0,0,0,"NL0012015705","NL",2020,"EUR"
"343","NL0013654783_2020_IR_0.pdf",1,3,1,2,5,0,6,6,0,1,0,3,34,0,8,21,14,25,1,0,1,"NL0013654783","NL",2020,"EUR"
"344","NL00150001Q9_2020_SR_1.pdf",0,1,9,0,1,1,7,2,1,8,0,1,16,0,15,4,27,35,0,30,0,"NL00150001Q9","NL",2020,"EUR"
"345","NL00150001Q9_2020_SR_2.pdf",3,3,53,2,17,3,17,4,1,31,3,4,98,0,56,10,48,8,1,409,1,"NL00150001Q9","NL",2020,"EUR"
"346","SE0000103699_2020_SR_0.pdf",0,1,0,1,0,0,14,1,0,1,1,0,7,0,3,2,4,2,0,0,0,"SE0000103699","SE",2020,"EUR"
"347","SE0000107419_2016_GC_0.pdf",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"SE0000107419","SE",2016,"EUR"
"348","SE0000107419_2020_IR_0.pdf",0,0,2,0,1,0,5,2,0,2,0,0,11,0,1,3,5,6,0,12,0,"SE0000107419","SE",2020,"EUR"
"349","SE0000108656_2016_GC_0.pdf",1,1,0,0,0,0,0,0,0,0,1,0,4,0,0,13,16,8,32,10,0,"SE0000108656","SE",2016,"EUR"
"350","SE0000108656_2016_SR_0.pdf",3,2,6,3,2,2,10,1,0,6,8,0,30,0,1,25,27,63,3,58,0,"SE0000108656","SE",2016,"EUR"
"351","SE0000108656_2020_GC_0.pdf",0,0,0,0,0,0,0,1,0,2,0,0,12,0,0,7,10,6,29,3,0,"SE0000108656","SE",2020,"EUR"
"352","SE0000108656_2020_SR_0.pdf",0,0,28,0,0,0,5,1,0,5,0,0,25,0,1,10,10,9,1,17,0,"SE0000108656","SE",2020,"EUR"
"353","SE0000115446_2016_SR_0.pdf",2,0,2,0,0,1,9,0,4,1,31,0,9,0,1,9,18,13,1,37,0,"SE0000115446","SE",2016,"EUR"
"354","SE0000115446_2020_SR_0.pdf",1,0,5,0,0,2,25,1,0,6,14,0,10,0,0,5,4,14,0,38,0,"SE0000115446","SE",2020,"EUR"
"355","SE0000242455_2016_IR_0.pdf",0,0,0,0,14,0,5,1,0,0,0,0,4,0,0,0,0,0,0,15,0,"SE0000242455","SE",2016,"EUR"
